country_txt,n
Afghanistan,1996
Albania,70
Algeria,2493
Andorra,1
Angola,489
Antigua and Barbuda,1
Argentina,798
Armenia,19
Australia,76
Austria,109
Azerbaijan,42
Bahamas,4
Bahrain,42
Bangladesh,726
Barbados,3
Belarus,7
Belgium,142
Belize,7
Benin,8
Bhutan,4
Bolivia,313
Bosnia-Herzegovina,147
Botswana,10
Brazil,257
Brunei,6
Bulgaria,41
Burkina Faso,3
Burundi,359
Cambodia,257
Cameroon,22
Canada,61
Central African Republic,17
Chad,49
Chile,2296
China,166
Colombia,7189
Comoros,5
Costa Rica,67
Croatia,55
Cuba,30
Cyprus,112
Czech Republic,16
Czechoslovakia,10
Democratic Republic of the Congo,119
Denmark,34
Djibouti,19
Dominica,3
Dominican Republic,87
East Germany (GDR),38
East Timor,10
Ecuador,210
Egypt,488
El Salvador,5320
Equatorial Guinea,2
Eritrea,8
Estonia,13
Ethiopia,128
Falkland Islands,1
Fiji,17
Finland,6
France,2480
French Guiana,7
French Polynesia,3
Gabon,4
Gambia,3
Georgia,192
Germany,570
Ghana,17
Greece,993
Grenada,5
Guadeloupe,56
Guatemala,2043
Guinea,20
Guinea-Bissau,8
Guyana,25
Haiti,212
Honduras,309
Hong Kong,26
Hungary,43
Iceland,2
India,5456
Indonesia,550
International,1
Iran,601
Iraq,5022
Ireland,150
Israel,1582
Italy,1499
Ivory Coast,25
Jamaica,33
Japan,385
Jordan,84
Kazakhstan,11
Kenya,121
Kosovo,162
Kuwait,72
Kyrgyzstan,22
Laos,19
Latvia,16
Lebanon,2009
Lesotho,28
Liberia,31
Libya,16
Lithuania,8
Luxembourg,16
Macau,33
Macedonia,109
Madagascar,21
Malawi,4
Malaysia,44
Maldives,4
Mali,52
Malta,18
Martinique,12
Mauritania,12
Mauritius,2
Mexico,444
Moldova,18
Montenegro,2
Morocco,34
Mozambique,224
Myanmar,254
Namibia,151
Nepal,636
Netherlands,116
New Caledonia,31
New Hebrides,1
New Zealand,18
Nicaragua,1968
Niger,58
Nigeria,338
North Korea,1
North Yemen,6
Norway,14
Pakistan,3677
Panama,126
Papua New Guinea,81
Paraguay,35
People's Republic of the Congo,4
Peru,6047
Philippines,2968
Poland,35
Portugal,138
Qatar,6
Republic of the Congo,20
Rhodesia,83
Romania,6
Russia,1260
Rwanda,134
Saudi Arabia,60
Senegal,93
Serbia,7
Serbia-Montenegro,11
Seychelles,2
Sierra Leone,97
Singapore,7
Slovak Republic,17
Slovenia,6
Solomon Islands,4
Somalia,621
South Africa,1918
South Korea,36
South Vietnam,1
South Yemen,2
Soviet Union,78
Spain,3225
Sri Lanka,2932
St. Kitts and Nevis,2
St. Lucia,1
Sudan,212
Suriname,66
Swaziland,16
Sweden,55
Switzerland,105
Syria,149
Taiwan,45
Tajikistan,174
Tanzania,17
Thailand,1383
Togo,48
Trinidad and Tobago,17
Tunisia,18
Turkey,2750
Turkmenistan,1
Uganda,339
Ukraine,35
United Arab Emirates,17
United Kingdom,4490
United States,2571
Uruguay,81
Uzbekistan,20
Vanuatu,2
Vatican City,1
Venezuela,260
Vietnam,10
Wallis and Futuna,1
West Bank and Gaza Strip,1488
West Germany (FRG),541
Western Sahara,5
Yemen,199
Yugoslavia,203
Zaire,50
Zambia,60
Zimbabwe,92
